127.0.0.1 - - [11/Apr/2020:08:14:37 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/ HTTP/1.1" 200 7317
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=css HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/imageswitch/imageswitch.js;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=primefaces&v=4.0 HTTP/1.1" 200 25907
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:40 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3?ln=js HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:14:44 -0300] "GET /Farmacia/faces/pages/products.xhtml;jsessionid=CFF4F348FFE6D77BB4825A937EDD0AF3 HTTP/1.1" 200 23477
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/ HTTP/1.1" 200 6991
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=css HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=js HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [11/Apr/2020:08:17:42 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=C45522A11E8F76527FCB10BEB075354F?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
